number	citation_key	zu_uri	status	note
1	padture2016advanced		OK	
2	lakhdar2021additive		OK	
3	duan2026review		OK	
4	novoselov2004electric		OK	
5	ramirez2021applications		OK	
6	miranzo2017bulk		OK	
7	khobragade2024graphene		OK	
8	almansoori2024advances		OK	
9	romanmanso2015enhanced		OK	
10	lewis2006direct		OK	
11	shahzad2021direct		OK	
12	cardenascorrea2026additive		OK	
13	feilden2016robocasting		OK	
14	allen2022research		OK	
15	li2024ink		OK	
16	romanmanso2016electrically		OK	
17	guo2022printed		OK	
18	liu2024printing		OK	
19	morenosanabria2022enhanced		OK	
20	morenosanabria2024effective		OK	
21	morenosanabria2025coaxially		OK	
22	budac2024monte		OK	
23	wu2023printed		OK	
24	hushein2024electrical		OK	
25	han2025development		OK	
26	han2025additive		OK	
27	cox2025slurry		OK	
28	xu2025enhanced		OK	
29	xu2026microstructure		OK	
30	bishop2025review		OK	
